    1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25 
    2     4     6     8    10    12    14    16    18    20    22    24    26    28    30    32    34    36    38    40    42    44    46    48    50 
    3     6     9    12    15    18    21    24    27    30    33    36    39    42    45    48    51    54    57    60    63    66    69    72    75 
    4     8    12    16    20    24    28    32    36    40    44    48    52    56    60    64    68    72    76    80    84    88    92    96   100 
    5    10    15    20    25    30    35    40    45    50    55    60    65    70    75    80    85    90    95   100   105   110   115   120   125 
    6    12    18    24    30    36    42    48    54    60    66    72    78    84    90    96   102   108   114   120   126   132   138   144   150 
    7    14    21    28    35    42    49    56    63    70    77    84    91    98   105   112   119   126   133   140   147   154   161   168   175 
    8    16    24    32    40    48    56    64    72    80    88    96   104   112   120   128   136   144   152   160   168   176   184   192   200 
    9    18    27    36    45    54    63    72    81    90    99   108   117   126   135   144   153   162   171   180   189   198   207   216   225 
   10    20    30    40    50    60    70    80    90   100   110   120   130   140   150   160   170   180   190   200   210   220   230   240   250 
   11    22    33    44    55    66    77    88    99   110   121   132   143   154   165   176   187   198   209   220   231   242   253     9    20 
   12    24    36    48    60    72    84    96   108   120   132   144   156   168   180   192   204   216   228   240   252     9    21    33    45 
   13    26    39    52    65    78    91   104   117   130   143   156   169   182   195   208   221   234   247     5    18    31    44    57    70 
   14    28    42    56    70    84    98   112   126   140   154   168   182   196   210   224   238   252    11    25    39    53    67    81    95 
   15    30    45    60    75    90   105   120   135   150   165   180   195   210   225   240     0    15    30    45    60    75    90   105   120 
   16    32    48    64    80    96   112   128   144   160   176   192   208   224   240     1    17    33    49    65    81    97   113   129   145 
   17    34    51    68    85   102   119   136   153   170   187   204   221   238     0    17    34    51    68    85   102   119   136   153   170 
   18    36    54    72    90   108   126   144   162   180   198   216   234   252    15    33    51    69    87   105   123   141   159   177   195 
   19    38    57    76    95   114   133   152   171   190   209   228   247    11    30    49    68    87   106   125   144   163   182   201   220 
   20    40    60    80   100   120   140   160   180   200   220   240     5    25    45    65    85   105   125   145   165   185   205   225   245 
   21    42    63    84   105   126   147   168   189   210   231   252    18    39    60    81   102   123   144   165   186   207   228   249    15 
   22    44    66    88   110   132   154   176   198   220   242     9    31    53    75    97   119   141   163   185   207   229   251    18    40 
   23    46    69    92   115   138   161   184   207   230   253    21    44    67    90   113   136   159   182   205   228   251    19    42    65 
   24    48    72    96   120   144   168   192   216   240     9    33    57    81   105   129   153   177   201   225   249    18    42    66    90 
   25    50    75   100   125   150   175   200   225   250    20    45    70    95   120   145   170   195   220   245    15    40    65    90   115 
